system:index,HAND,TWI,builtup,dist_water,elevation,flow_accum,impervious,slope,lon,lat,log_flow_accum,flood_haz
17600,2.4048543,10.64514840524594,0.14843482,1897.366596101028,12.145251,0.008329427,0.1106380959503795,0.12964378,80.23475749616246,13.108409441184762,0.0082949287576041,2.0
17601,2.98404,11.042707061994715,0.34267244,1992.4858845171275,11.98404,0.021556435,0.611238517334996,0.17304298,80.23567997292237,13.108412178528564,0.0213273809349816,2.0
17602,2.7943244,10.5608621276674,0.41068015,2088.06130178211,11.794325,0.019383052,0.8688241825723888,0.18956734,80.2366024498918,13.108414912571345,0.0191975933196393,2.0
17603,2.4535778,12.94851798228163,0.5182948,2184.032966784156,11.453578,0.16084719,0.9750228913973296,0.187509,80.23752492707052,13.108417643313096,0.1491500747594628,2.0
17604,2.551614,10.214510549300911,0.4361608,2280.350850198276,11.551614,0.008686682,0.8896516074534747,0.2144765,80.23844740445827,13.108420370753818,0.0086491698587454,2.0
17605,2.5105052,11.204929518068584,0.42284632,2376.9728648009427,11.510506,0.010364639,0.8486907252232394,0.08370435,80.23936988205477,13.108423094893505,0.010311294410855,2.0
17606,2.3727043,10.213206278155424,0.42806506,2473.8633753705963,11.3727045,0.008329427,0.933394439411039,0.20540251,80.24029235985982,13.108425815732154,0.0082949287576041,2.0
17607,2.0887156,9.589482208880105,0.3061492,2570.992026436488,11.088716,0.008329426,0.7761164868057255,0.3778197,80.24121483787312,13.108428533269764,0.0082949277658647,
17608,1.3366287,9.64381819316899,0.18744181,2668.332812825267,10.336629,0.012480962,0.9232544956825356,0.48872003,80.24213731609443,13.108431247506328,0.0124037168588162,1.0
17609,0.6794146,12.7771479187629,0.15029936,2765.863337187866,9.679415,0.20318976,0.8515715898193614,0.2585227,80.24305979452349,13.108433958441845,0.1849761635389247,1.0
17610,0.8293783,11.423397817785698,0.2360067,2863.5642126552707,9.6929455,0.078984275,0.4825543062118698,0.2416676,80.24398227316009,13.108436666076308,0.0760201124904677,1.0
17611,1.4231958,9.467824586166785,0.42690036,2961.4185789921694,10.226105,0.009402596,0.9392478709165804,0.4591864,80.24490475200392,13.108439370409718,0.0093586667455642,
17612,2.8810883,9.36321820035323,0.41033557,3059.411708155671,10.192073,0.008329426,1.0,0.4562939,80.24582723105476,13.10844207144207,0.0082949277658647,1.0
17613,2.678658,9.864366571062488,0.44261184,3157.5306807693887,9.978658,0.01737787,0.9524290265483536,0.571591,80.24674971031234,13.10844476917336,0.0172286016464685,2.0
