lon,lat,slum,road_density,dist_industry
80.24719803914091,12.960157490828893,0,6.0,1262.2535491453496
80.24811996967843,12.960160153748108,0,7.0,1245.5394043803783
80.24904190042162,12.960162813404862,0,2.0,1236.7104727451115
80.24996383137021,12.96016546979915,0,8.5,1235.935750324547
80.25088576252395,12.960168122930968,0,6.0,1243.2302942191357
80.25180769388258,12.96017077280031,0,9.0,1258.453793350124
80.25272962544588,12.960173419407178,0,3.0,1281.323665406658
80.25365155721357,12.960176062751565,0,5.0,1311.439941844541
80.2545734891854,12.960178702833463,0,5.0,1348.3171387318764
80.25549542136112,12.960181339652882,0,2.0,1391.4177992713828
80.25641735374049,12.960183973209803,0,22.0,1440.1832791917675
80.25733928632324,12.960186603504235,0,9.0,1494.0589891959428
80.25826121910914,12.960189230536171,0,5.0,1552.5130108093147
80.25918315209792,12.960191854305604,0,1.0,1615.0483070999692
80.26010508528933,12.960194474812532,0,3.0,1681.2095109766396
80.26102701868311,12.960197092056951,0,7.0,1750.585560699987
80.26194895227903,12.960199706038866,0,5.0,1822.8094225300251
80.26287088607681,12.960202316758265,0,2.0,1897.55594816015
80.26379282007623,12.960204924215144,0,2.0,1974.5386706598572
80.19925505094821,12.96091870902199,0,10.0,2306.801305496494
80.20017697377052,12.960921541788826,0,8.0,2399.3526558322014
80.2010988968116,12.960924371293146,0,7.0,2492.4795026352936
80.20202082007121,12.96092719753494,0,11.0,2586.1196753192094
80.20294274354907,12.960930020514214,0,7.0,2680.2193714468945
80.20386466724496,12.96093284023096,0,8.0,2774.7318398533653
80.20478659115858,12.960935656685171,0,6.0,2869.616296143906
80.20570851528974,12.960938469876847,0,5.0,2964.8370260620463
80.20663043963815,12.960941279805985,0,7.0,3060.362641112131
80.20755236420356,12.960944086472582,0,8.0,3156.16545813545
80.20847428898571,12.960946889876633,0,2.0,3252.2209800577907
80.20939621398439,12.96094969001813,0,7.0,3348.5074596216523
80.2103181391993,12.960952486897074,0,5.0,3445.0055313669604
80.2112400646302,12.960955280513463,0,4.0,3541.6979000411493
80.21216199027688,12.96095807086729,0,2.0,3638.5690757744364
80.21308391613901,12.960960857958556,0,6.5,3688.0239713120277
80.21400584221642,12.960963641787252,0,4.0,3595.4114808524764
80.21492776850879,12.960966422353378,0,29.0,3503.205192439353
80.2158496950159,12.96096919965693,0,0.0,3411.4380434079426
80.21677162173752,12.960971973697902,0,0.0,3320.146446721998
80.21769354867335,12.960974744476294,0,0.0,3229.3707330328552
80.21861547582316,12.960977511992102,0,0.0,3139.155656391194
80.2195374031867,12.960980276245316,0,0.0,3049.5509732966257
80.22045933076372,12.960983037235945,0,0.0,2960.6121060368414
80.22138125855398,12.960985794963976,0,0.5,2872.400902743704
80.22230318655717,12.960988549429404,0,1.0,2784.9865080062673
80.22322511477311,12.960991300632232,0,0.5,2698.4463591949743
80.22414704320151,12.960994048572454,0,0.0,2612.8673248249243
80.22506897184213,12.960996793250066,0,0.0,2528.34700166232
80.23981985874761,12.961040264374118,0,12.0,1447.317617044461
80.24074179095732,12.961042953586835,0,12.0,1407.3500647575781
80.2416637233747,12.961045639536884,0,2.0,1355.551306343831
80.24258565599952,12.961048322224256,0,6.0,1309.352696368462
80.2435075888315,12.961051001648949,0,6.0,1269.3658349131813
80.24442952187042,12.96105367781096,0,0.0,1236.1936588581996
80.245351455116,12.961056350710283,0,31.5,1210.3965885443242
80.24627338856799,12.961059020346925,0,14.0,1190.8588178877762
80.24719532222615,12.961061686720868,0,9.0,1164.57250082361
80.24811725609023,12.961064349832116,0,2.0,1146.4351247272666
80.24903919015996,12.961067009680669,0,6.5,1136.8367872039203
80.2499611244351,12.961069666266516,0,2.0,1135.9939552099677
80.2508830589154,12.96107231958966,0,12.0,1143.9259817872053
80.2518049936006,12.961074969650094,0,6.0,1160.4529449056784
80.25272692849046,12.961077616447811,0,12.0,1185.215348734135
80.25364886358471,12.96108025998282,0,5.0,1217.7108886791455
80.25457079888312,12.961082900255104,0,8.0,1257.34012659342
80.25549273438543,12.96108553726467,0,3.0,1303.452561267316
80.25641467009137,12.96108817101151,0,18.5,1355.386647790197
80.2573366060007,12.96109080149562,0,6.0,1412.5003895718824
80.25825854211318,12.961093428716994,0,6.0,1474.1918925547948
80.25918047842855,12.961096052675636,0,3.0,1539.911075876596
80.26010241494656,12.961098673371538,0,6.0,1609.1645370012973
80.26102435166693,12.961101290804695,0,4.5,1681.5156534134912
80.26194628858946,12.961103904975111,0,9.0,1756.5817026857833
80.26286822571385,12.961106515882776,0,5.0,1834.0293519310455
80.26379016303987,12.96110912352769,0,8.0,1913.5694524308221
80.1974083091985,12.96181721881042,0,4.0,2083.751849409351
80.1983302349091,12.961820058307016,0,8.0,2176.598877589375
80.199252160839,12.961822894540868,0,6.0,2270.053650893839
80.20017408698791,12.96182572751197,0,3.0,2364.044094754469
80.2010960133556,12.961828557220318,0,13.0,2458.5087728029844
80.20201793994181,12.961831383665912,0,9.0,2553.395051682891
80.2029398667463,12.961834206848744,0,4.0,2648.6576211302017
80.20386179376881,12.961837026768814,0,7.0,2744.2572944215053
80.20478372100906,12.961839843426116,0,7.0,2840.1600310520575
80.20570564846686,12.961842656820648,0,4.0,2936.33613641209
80.20662757614188,12.961845466952404,0,3.0,3032.759603068438
80.20754950403393,12.961848273821383,0,5.0,3129.4075659797536
80.20847143214274,12.961851077427582,0,7.0,3226.259849736595
80.20939336046807,12.961853877770992,0,2.0,3323.2985905624464
80.21031528900963,12.961856674851616,0,5.0,3420.5079193076663
80.2112372177672,12.961859468669449,0,5.0,3517.873694443222
80.21215914674052,12.961862259224484,0,3.0,3615.3832762337224
80.21308107592932,12.96186504651672,0,8.0,3651.9588095267436
80.21400300533338,12.961867830546156,1,5.0,3558.407797057314
80.21492493495244,12.961870611312785,1,7.0,3465.21701395975
80.21584686478622,12.9618733888166,0,14.0,3372.4163232799588
80.2167687948345,12.961876163057603,0,0.0,3280.0388353188036
80.217690725097,12.961878934035791,0,0.0,3188.121337854913
80.21861265557351,12.96188170175116,0,0.0,3096.7047919622646
80.21953458626373,12.961884466203704,0,0.0,3005.834904355971
80.22045651716745,12.96188722739342,0,0.5,2915.562788883302
80.22137844828437,12.961889985320305,0,0.0,2825.945731893487
