system:index,LST,NDBI,NDVI,albedo,bare,bheight,builtup,dist_water,.geo
14320,41.82542809880103,-0.024033902,0.28711915,0.1631904864788521,0.0,11.227405,0.5152368,2137.755832643195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22191948801208,13.083957882499732]}"
14321,42.05874214399963,-0.042915426,0.31500816,0.16136655669291428,0.0,11.65634,0.45190385,2158.7033144922902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22284187097553,13.083960660695546]}"
14322,42.190746076399584,-0.09939888,0.41411045,0.15942031145422042,0.0,11.74621,0.32122633,2184.0329667841556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22376425415197,13.083963435596745]}"
14323,42.507579440299416,-0.011251432,0.2506209,0.156134301943884,0.0,11.640474,0.48736548,2213.5943621178653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22468663754113,13.083966207203325]}"
14324,42.67019174179791,-0.07061451,0.35837322,0.15511875617623105,0.0,11.153529,0.45455614,2247.220505424423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22560902114274,13.083968975515278]}"
14325,42.10902121819867,-0.051250968,0.2950444,0.16358736547739844,0.0,10.430902,0.46759313,2284.7319317591728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22653140495657,13.083971740532608]}"
14326,40.50506406289715,-0.20302361,0.5608944,0.1576816169168411,0.0,9.905912,0.23162334,2325.9406699226015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22745378898236,13.083974502255307]}"
14327,39.339519242897374,-0.26785204,0.65657175,0.1502830121801315,0.0,9.811249,0.04117294,2370.6539182259394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22837617321987,13.083977260683373]}"
14328,39.19804739509701,-0.27070636,0.68203044,0.14979529372539926,0.0,10.076489,0.02572981,2418.677324489565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22929855766881,13.0839800158168]}"
14329,40.40312161639942,-0.2106792,0.60074466,0.15125256690454286,0.0,10.679949,0.15229641,2469.817807045694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23022094232897,13.083982767655586]}"
14330,41.970881939898874,-0.0743335,0.4157238,0.14896655036911363,0.009999999999890865,11.667994,0.34105918,2523.8858928247923,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23114332720006,13.08398551619973]}"
14331,41.80968811669899,-0.099916406,0.4140656,0.15987203414127318,0.0,12.671084,0.37654784,2580.697580112788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23206571228185,13.083988261449225]}"
14332,42.34161747919923,-0.05827707,0.35381106,0.16239791739667517,0.0,12.773159,0.45325604,2640.075756488817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2329880975741,13.08399100340407]}"
14333,43.03991896519961,-0.050559413,0.34214425,0.14763192732529146,0.0,11.415862,0.3484531,2701.851217221259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23391048307651,13.083993742064258]}"
14334,42.74591797489983,-0.06712377,0.39964122,0.15096869571848076,0.0,10.089403,0.31164214,2765.863337187866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23483286878887,13.08399647742979]}"
14335,42.48320895769956,-0.037526842,0.3219314,0.15784127349900517,0.0,10.254942,0.37064883,2831.9604517012594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23575525471092,13.083999209500659]}"
14336,41.90134232299981,-0.08105046,0.35855263,0.16485341919291305,0.0,11.376058,0.3607505,2900.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2366776408424,13.084001938276865]}"
